# Skill Scores MONAN
# Regiao = ACC
# Threshold = 1 mm / 24h
# Ciclo = 2025112600

# Valores de referencia ideais
# ACC_best=1.0  POD_best=1.0  POFD_best=0.0  FAR_best=0.0  CSI_best=1.0  F1_best=1.0

 LEAD   REF     ACC     POD     POFD    FAR     CSI      F1   
---------------------------------------------------------------
 024    GPM     0.88    0.87    0.12    0.41    0.54    0.70
 024   GSMAP    0.86    0.85    0.14    0.51    0.45    0.62
 024   MSWEP    0.88    0.90    0.13    0.46    0.51    0.68
 024    GPM     0.88    0.87    0.12    0.41    0.54    0.70
 024   GSMAP    0.86    0.85    0.14    0.51    0.45    0.62
 024   MSWEP    0.88    0.90    0.13    0.46    0.51    0.68
 024    GPM     0.83    0.71    0.12    0.34    0.52    0.68
 024   GSMAP    0.82    0.78    0.18    0.55    0.40    0.57
 024   MSWEP    0.84    0.79    0.14    0.43    0.50    0.67
