# Skill Scores MONAN
# Regiao = GLB
# Threshold = 1 mm / 24h
# Ciclo = 2025112600

# Valores de referencia ideais
# ACC_best=1.0  POD_best=1.0  POFD_best=0.0  FAR_best=0.0  CSI_best=1.0  F1_best=1.0

 LEAD   REF     ACC     POD     POFD    FAR     CSI      F1   
---------------------------------------------------------------
 024    GPM     0.86    0.76    0.12    0.40    0.50    0.67
 024   GSMAP    0.83    0.77    0.16    0.55    0.40    0.57
 024   MSWEP    0.87    0.77    0.09    0.30    0.58    0.73
 048    GPM     0.85    0.76    0.13    0.40    0.50    0.67
 048   GSMAP    0.81    0.77    0.18    0.59    0.36    0.53
 048   MSWEP    0.86    0.76    0.11    0.34    0.55    0.71
 072    GPM     0.83    0.72    0.15    0.43    0.47    0.64
 072   GSMAP    0.80    0.74    0.19    0.60    0.35    0.52
 072   MSWEP    0.84    0.72    0.13    0.36    0.51    0.68
 096    GPM     0.80    0.69    0.17    0.48    0.42    0.59
 096   GSMAP    0.78    0.70    0.20    0.62    0.33    0.49
 096   MSWEP    0.82    0.69    0.14    0.40    0.47    0.64
 120    GPM     0.78    0.63    0.18    0.52    0.37    0.54
 120   GSMAP    0.77    0.63    0.21    0.66    0.29    0.44
 120   MSWEP    0.79    0.63    0.16    0.45    0.41    0.59
